text,language,intent
"bijli khamba shikayat",hi,COMPLAINT
"road pothole file complaint",en,COMPLAINT
"kachra nahi utha",hi,COMPLAINT
"स्ट्रीट लाइट संबंधी शिकायत दर्ज करनी है",hi,COMPLAINT
"स्ट्रीट लाइट संबंधी तक्रार दर्ज करनी है",hi,COMPLAINT
"लाइट खराब है शिकायत दर्ज करनी है",hi,COMPLAINT
"सड़क पर गड्ढा है तक्रार नोंदवा",hi,COMPLAINT
"पानी का पाइप टूट गया है शिकायत करना है",hi,COMPLAINT
"कचरा नहीं उठ रहा है शिकायत लिखो",hi,COMPLAINT
"बिजली का खंभा गिर गया है तक्रार",hi,COMPLAINT
"sarpanch pradhan sachiv mobile number",hi,HELPLINE
"lekhpal contact number",en,HELPLINE
"emergency helpline 112 108 1551",hi,HELPLINE
"panchayat secretary helpline",en,HELPLINE
"gram pradhan contact details",en,HELPLINE
